y_var,post,pre,order,Wcritic,Woptim,errorcodem,errorcodep,maxedout
y_smooth_m,2,2,2,12.591587,12.591587,,,0
y_smooth_m,3,2,1,14.067141,14.067141,,,0
y_smooth_m,4,2,1,15.507313,15.507313,,,0
y_smooth_m,5,2,1,16.918978,16.918978,,,0
y_smooth_m,6,2,2,18.307037,18.307037,,,0
y_smooth_m,7,2,2,19.675138,19.675138,,,0
y_smooth_m,2,3,2,14.067141,14.067141,,,0
y_smooth_m,3,3,1,15.507313,15.507313,,,0
y_smooth_m,4,3,1,16.918978,16.918978,,,0
y_smooth_m,5,3,1,18.307037,18.307037,,,0
y_smooth_m,6,3,2,19.675138,19.675138,,,0
y_smooth_m,7,3,3,21.02607,21.02607,,,0
y_smooth_m,2,4,2,15.507313,15.507313,8,,0
y_smooth_m,3,4,2,16.918978,16.918978,,,0
y_smooth_m,4,4,1,18.307037,18.307037,,,0
y_smooth_m,5,4,1,19.675138,19.675138,,,0
y_smooth_m,6,4,3,21.02607,21.02607,,4,0
y_smooth_m,7,4,3,22.362032,22.362032,,4,0
y_smooth_m,2,5,2,16.918978,16.918978,,,0
y_smooth_m,3,5,2,18.307037,18.307037,8,,0
y_smooth_m,4,5,2,19.675138,19.675138,,,0
y_smooth_m,5,5,2,21.02607,21.02607,,,0
y_smooth_m,6,5,3,22.362032,22.362032,,4,0
y_smooth_m,7,5,3,23.684792,23.684792,,4,0
y_smooth_m,2,6,2,18.307037,18.307037,5,,0
y_smooth_m,3,6,2,19.675138,19.675138,8,,0
y_smooth_m,4,6,2,21.02607,21.02607,5,,0
y_smooth_m,5,6,2,22.362032,22.362032,,,0
y_smooth_m,6,6,3,23.684792,23.684792,,5,0
y_smooth_m,7,6,3,24.99579,24.99579,,4,0
y_smooth_m,2,7,2,19.675138,19.675138,,,0
y_smooth_m,3,7,2,21.02607,21.02607,8,,0
y_smooth_m,4,7,2,22.362032,22.362032,8,,0
y_smooth_m,5,7,2,23.684792,23.684792,8,,0
y_smooth_m,6,7,3,24.99579,24.99579,,4,0
y_smooth_m,7,7,3,26.296228,26.296228,,4,0
y_jump_m,2,2,4,12.591587,12.591587,,4,0
y_jump_m,3,2,4,14.067141,14.067141,,4,0
y_jump_m,4,2,4,15.507313,15.507313,,4,0
y_jump_m,5,2,5,16.918978,16.918978,4,,0
y_jump_m,6,2,5,18.307037,18.307037,4,,0
y_jump_m,7,2,5,19.675138,19.675138,4,,0
y_jump_m,2,3,5,14.067141,14.067141,,4,0
y_jump_m,3,3,5,15.507313,15.507313,,4,0
y_jump_m,4,3,5,16.918978,16.918978,,4,0
y_jump_m,5,3,6,18.307037,18.307037,4,,0
y_jump_m,6,3,6,19.675138,19.675138,5,,0
y_jump_m,7,3,6,21.02607,21.02607,4,,0
y_jump_m,2,4,5,15.507313,15.507313,,4,0
y_jump_m,3,4,5,16.918978,16.918978,,4,0
y_jump_m,4,4,5,18.307037,18.307037,,4,0
y_jump_m,5,4,6,19.675138,19.675138,4,,0
y_jump_m,6,4,6,21.02607,21.02607,4,,0
y_jump_m,7,4,6,22.362032,22.362032,4,4,0
y_jump_m,2,5,4,16.918978,16.918978,4,,0
y_jump_m,3,5,5,18.307037,18.307037,,4,0
y_jump_m,4,5,5,19.675138,19.675138,,4,0
y_jump_m,5,5,5,21.02607,21.02607,,4,0
y_jump_m,6,5,6,22.362032,22.362032,4,,0
y_jump_m,7,5,6,23.684792,23.684792,4,,0
y_jump_m,2,6,4,18.307037,18.307037,4,,0
y_jump_m,3,6,6,19.675138,19.675138,,4,0
y_jump_m,4,6,5,21.02607,21.02607,,4,0
y_jump_m,5,6,5,22.362032,22.362032,,4,0
y_jump_m,6,6,7,23.684792,23.684792,4,,0
y_jump_m,7,6,7,24.99579,24.99579,4,,0
y_jump_m,2,7,5,19.675138,19.675138,4,,0
y_jump_m,3,7,6,21.02607,21.02607,,5,0
y_jump_m,4,7,6,22.362032,22.362032,,5,0
y_jump_m,5,7,7,23.684792,23.684792,4,,0
y_jump_m,6,7,7,24.99579,24.99579,4,,0
y_jump_m,7,7,7,26.296228,26.296228,4,,0
